X,Y,objectid,id,school_nam,type,address,globalid
-92.413288242980201,35.102968080909513,1,0,Theodore Jones Elementary,Elementary,1800 FREYALDENHOVEN,{84B9028E-C137-4C70-8322-3DA424DED4A0}
-92.454169059470274,35.095976925127481,8,0,Ida Burns Elementary,Elementary,1201 DONAGHEY AVENUE,{CE5DFB8D-1936-47D5-98FE-E7A171FDBCDF}
-92.446312692023781,35.078514590464991,13,0,Sallie Cone Elementary,Elementary,1629 SOUTH BOULEVARD,{64072A28-C127-457F-9E3D-A64F0B0D8267}
-92.398962097286088,35.087648558497612,15,0,Florence Mattison Elementary,Elementary,2001 FLORENCE MATTISON,{9AA68344-080E-4A05-B146-2F8B891CFB04}
-92.481225255156303,35.097828894624946,16,0,Julia Lee Moore Elementary,Elementary,1301 COUNTRY CLUB RD,{90EFFE36-4F3F-42BD-9AC7-913CE3718FFB}
-92.499889028251246,35.084238892681682,17,0,Jim Stone Elementary,Elementary,4255 COLLEGE AVENUE,{07F331A7-369D-496E-9978-4D8B86124B26}
-92.452025294221329,35.096260687705445,21,0,Teacher Training & Alternative School,High School,2300 Prince Street,{BB5BA9CA-1038-42A2-BA2A-6493DD331947}
-92.45684630962937,35.054948158850067,22,0,Ellen Smith Elementary,Elementary,1601 SOUTH DONAGHEY,{4FAC92A6-FF66-4483-ABEA-30CE10257351}
-92.470807775241482,35.076880095588791,23,0,Margurite Vann Elementary,Elementary,2845 CARL STUART RD,{DD82F644-1510-486C-AE9F-74501CDAF03A}
-92.445026065233847,35.08307048464544,25,9,Central Baptist College,College,1501 College Avenue ,{F3E4391C-21E6-469C-BF5E-FABBB73DD47C}
-92.442161622745161,35.100453201709165,26,10,Hendrix College,College,1600 Washington Avenue,{F4A162AB-B288-4E56-BD70-FD7E7A8398E5}
-92.49266337846683,35.046924944440811,28,0,Carolyn Lewis Elementary,Elementary,1805 OLD MILITARY RD,{4F8AF88B-CE9F-4AB4-8769-7FF35C1C1A97}
-92.436140198784642,35.086698078061517,6,0,St. Joseph Elementary,Private,500 Harkrider Street,{665F3E65-D808-46EB-8999-42F649989D03}
-92.435589498098253,35.090363379650611,9,0,Conway Christian Academy,Private,701 Polk,{73BD569A-28E5-4689-990D-76C98D7B247C}
-92.400873249034689,35.070213502450343,20,0,Conway Christian School East,Private,400 South East German Lane,{706C386A-7D5A-4287-A82D-707DE9FC3315}
-92.458655933723009,35.076005773473852,24,15,University of Central Arkansas,College,201 Donaghey Avenue,{961478FC-3DFA-4567-96C1-63B97A038B64}
-92.522969351757794,35.097523327209302,27,16,Woodrow Cummins Elementary,Elementary,1400 Padgett Road,{2D69E04B-F098-4BAA-BE56-D2D3C5A2BA01}
-92.412094418753099,35.09566038931461,2,0,Bob Courtway Middle,Middle,1200 BOB COURTWAY DRIVE,{64938238-805D-4AFD-A232-6444C6674185}
-92.468807780049517,35.076458458051412,12,0,Carl Stuart Middle,Middle,2745 CARL STUART RD,{934A7330-3A3A-4699-9F74-8242A0AD6306}
-92.437667093360304,35.084924381765497,7,0,St. Joseph Middle & High,Private,502 Front Street,{B809CA25-9ABF-422A-A388-5D3E29398EC4}
-92.518607941992258,35.090788148657069,18,0,Ruth Doyle Middle,Middle,800 Padgett Rd,{CB96F6CF-8CA6-4A4B-8BC4-77A714042FCB}
-92.405782673995333,35.09962365544326,19,0,Simon Middle,Middle,1600 East Siebenmorgan Road,{10D2D3BF-84B3-49DB-890C-ED9E77BDC270}
-92.459123181976977,35.094056096668567,10,0,Conway High,High School,2300 PRINCE STREET,{462C3254-EE21-4EB7-9E43-AC2DC37EA11B}
